year,source_page,source_order,wikipedia_title,qid,wikidata_label,release_year,box_office
2021,List_of_American_films_of_2021,230,Shang-Chi and the Legend of the Ten Rings,Q65768589,Shang-Chi and the Legend of the Ten Rings,2021,432243292
2021,List_of_American_films_of_2021,310,Eternals (film),Q23894629,Eternals,2021,402064899
2021,List_of_American_films_of_2021,294,Dune (2021 film),Q60834962,Dune,2021,401847900
2021,List_of_American_films_of_2021,167,Black Widow (2021 film),Q23894626,Black Widow,2021,379751655
2021,List_of_American_films_of_2021,205,Free Guy,Q38685497,Free Guy,2021,330600000
2021,List_of_American_films_of_2021,331,Encanto,Q103372692,Encanto,2021,255405360
2021,List_of_American_films_of_2021,122,The Conjuring: The Devil Made Me Do It,Q64145552,The Conjuring: The Devil Made Me Do It,2021,206444123
2021,List_of_American_films_of_2021,324,Ghostbusters: Afterlife,Q61883088,Ghostbusters: Afterlife,2021,197360575
2021,List_of_American_films_of_2021,196,The Suicide Squad (film),Q57317060,The Suicide Squad,2021,168717425
2021,List_of_American_films_of_2021,171,Space Jam: A New Legacy,Q56850065,Space Jam: A New Legacy,2021,163732928
2021,List_of_American_films_of_2021,161,The Boss Baby: Family Business,Q11640531,The Boss Baby: Family Business,2021,146745280
2022,List_of_American_films_of_2022,314,Avatar: The Way of Water,Q3604746,Avatar: The Way of Water,2022,2176229105
2022,List_of_American_films_of_2022,106,Top Gun: Maverick,Q31202708,Top Gun: Maverick,2022,1443725344
2022,List_of_American_films_of_2022,119,Jurassic World Dominion,Q55178974,Jurassic World Dominion,2022,1001978080
2022,List_of_American_films_of_2022,88,Doctor Strange in the Multiverse of Madness,Q64211112,Doctor Strange in the Multiverse of Madness,2021,955775804
2022,List_of_American_films_of_2022,276,Black Panther: Wakanda Forever,Q54860489,Black Panther: Wakanda Forever,2022,859208836
2022,List_of_American_films_of_2022,42,The Batman (film),Q61117344,The Batman,2022,770945583
2022,List_of_American_films_of_2022,145,Thor: Love and Thunder,Q65768604,Thor: Love and Thunder,2021,760928081
2022,List_of_American_films_of_2022,139,Minions: The Rise of Gru,Q60997779,Minions: The Rise of Gru,2022,760095375
2022,List_of_American_films_of_2022,75,Fantastic Beasts: The Secrets of Dumbledore,Q18199332,Fantastic Beasts: The Secrets of Dumbledore,2022,405161334
2022,List_of_American_films_of_2022,70,Sonic the Hedgehog 2 (film),Q105970894,Sonic the Hedgehog 2,2022,401872904
2022,List_of_American_films_of_2022,251,Black Adam (film),Q28657013,Black Adam,2022,392952111
2022,List_of_American_films_of_2022,131,Elvis (2022 film),Q84362533,Elvis,2022,272075000
2022,List_of_American_films_of_2022,78,The Bad Guys (film),Q97288428,The Bad Guys,2022,245713440
2022,List_of_American_films_of_2022,170,Bullet Train (film),Q99900595,Bullet Train,2022,239246943
2022,List_of_American_films_of_2022,31,Uncharted (film),Q67171881,Uncharted,2022,231194293
2023,List_of_American_films_of_2023,77,The Super Mario Bros. Movie,Q108671102,The Super Mario Bros. Movie,2023,1346395054
2023,List_of_American_films_of_2023,169,Barbie (film),Q55436290,Barbie,2023,1345183126
2023,List_of_American_films_of_2023,170,Oppenheimer (film),Q108839994,Oppenheimer,2023,955300000
2023,List_of_American_films_of_2023,108,Guardians of the Galaxy Vol. 3,Q29226331,Guardians of the Galaxy Vol. 3,2023,845555777
2023,List_of_American_films_of_2023,127,The Little Mermaid (2023 film),Q24357415,The Little Mermaid,2023,569626289
2023,List_of_American_films_of_2023,34,Ant-Man and the Wasp: Quantumania,Q105359456,Ant-Man and the Wasp: Quantumania,2023,476069301
2023,List_of_American_films_of_2023,298,The Hunger Games: The Ballad of Songbirds & Snakes,Q96377121,The Hunger Games: The Ballad of Songbirds and Snakes,2023,315300000
2023,List_of_American_films_of_2023,142,The Flash (film),Q23562553,The Flash,2023,270633313
2023,List_of_American_films_of_2023,159,Sound of Freedom (film),Q85847274,Sound of Freedom,2023,231000000
2023,List_of_American_films_of_2023,290,The Marvels,Q89474225,The Marvels,2023,206136557
2023,List_of_American_films_of_2023,210,The Equalizer 3,Q114818951,The Equalizer 3,2023,182800000
2023,List_of_American_films_of_2023,62,John Wick: Chapter 4,Q80322358,John Wick: Chapter 4,2023,137817950
2023,List_of_American_films_of_2023,55,Shazam! Fury of the Gods,Q84712809,Shazam! Fury of the Gods,2023,133438006
2023,List_of_American_films_of_2023,219,A Haunting in Venice,Q114589148,A Haunting in Venice,2023,122200000
2023,List_of_American_films_of_2023,202,Gran Turismo (film),Q112909147,Gran Turismo,2023,122076738
2024,List_of_American_films_of_2024,263,Deadpool & Wolverine,Q102180106,Deadpool & Wolverine,2024,1338073645
2024,List_of_American_films_of_2024,204,Inside Out 2,Q113877606,Inside Out 2,2024,835300000
2024,List_of_American_films_of_2024,458,Mufasa: The Lion King,Q114242678,Mufasa: The Lion King,2024,721078136
2024,List_of_American_films_of_2024,318,Beetlejuice Beetlejuice,Q112865900,Beetlejuice Beetlejuice,2024,425500000
2024,List_of_American_films_of_2024,286,Alien: Romulus,Q115932544,Alien: Romulus,2024,350447667
2024,List_of_American_films_of_2024,361,Joker: Folie à Deux,Q108628759,Joker: Folie à Deux,2024,204000000
2024,List_of_American_films_of_2024,101,Ghostbusters: Frozen Empire,Q113300586,Ghostbusters: Frozen Empire,2024,195300000
2024,List_of_American_films_of_2024,422,Wicked (2024 film),Q24797403,Wicked,2024,194900000
2024,List_of_American_films_of_2024,246,Longlegs,Q116470610,Longlegs,2024,128000000
2024,List_of_American_films_of_2024,372,Terrifier 3,Q119821866,Terrifier 3,2024,90300000
2024,List_of_American_films_of_2024,269,Trap (2024 film),Q124077893,Trap,2024,83677281
2024,List_of_American_films_of_2024,448,Kraven the Hunter (film),Q107390449,Kraven the Hunter,2024,61985742
2024,List_of_American_films_of_2024,410,Heretic (film),Q122933268,Heretic,2024,59200000
2024,List_of_American_films_of_2024,465,Babygirl,Q123861757,Babygirl,2024,36900000
2024,List_of_American_films_of_2024,336,Never Let Go (2024 film),Q124619782,Never Let Go,2024,21800000
2025,List_of_American_films_of_2025,168,Lilo & Stitch (2025 film),Q59395971,Lilo & Stitch,2025,1030541425
2025,List_of_American_films_of_2025,290,The Conjuring: Last Rites,Q114802043,The Conjuring: Last Rites,2025,460164908
2025,List_of_American_films_of_2025,217,Superman (2025 film),Q116547790,Superman,2025,406800000
2025,List_of_American_films_of_2025,187,How to Train Your Dragon (2025 film),Q118904382,How to Train Your Dragon,2025,371482710
2025,List_of_American_films_of_2025,328,One Battle After Another,Q117085614,One Battle After Another,2025,209586604
2025,List_of_American_films_of_2025,193,28 Years Later,Q125392328,28 Years Later,2025,151200000
2025,List_of_American_films_of_2025,360,Black Phone 2,Q124435493,Black Phone 2,2025,128000000
2025,List_of_American_films_of_2025,239,Together (2025 film),Q131870558,Together,2025,28000000
2025,List_of_American_films_of_2025,477,Marty Supreme,Q130118681,Marty Supreme,2025,28000000
2025,List_of_American_films_of_2025,17,Presence (2024 film),Q123690382,Presence,2024,10500000
2025,List_of_American_films_of_2025,410,Arco (film),Q134571218,Arco,2025,3739391
2025,List_of_American_films_of_2025,77,Opus (film),Q123754013,Opus,2025,2200000
2025,List_of_American_films_of_2025,425,Sisu: Road to Revenge,Q125020375,Sisu: Road to Revenge,2025,1900000
2025,List_of_American_films_of_2025,232,The Home (2025 film),Q123050485,The Home,2025,1700000
2025,List_of_American_films_of_2025,1,The Damned (2024 Palsson film),Q124426106,The Damned,2024,1300000
